Status,發起人,電子領標,電子領標日,爬蟲執行時間,公告日,截止投標,開標時間,金額,WD,專案結束日,招標方式,決標方式,機關名稱,單位名稱,標案名稱,聯絡人,聯絡電話,電子郵件信箱,標的分類,連結,關鍵字
,EY_Crawler,TBD,,2021/07/29,110/07/28,110/08/02 17:30,110/08/03 09:30,"900,000元",,,公開取得報價單或企劃書,參考最有利標精神,屏東縣政府,客家事務處產業輔導科吳雅慧,地方創生-客庄可可經營行銷計畫,客家事務處產業輔導科吳雅慧,(08)7320415分機3911,a001529@oa.pthg.gov.tw,勞務類911-政府行政服務,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53534066,行銷
,EY_Crawler,TBD,,2021/07/29,110/07/28,110/08/02 17:30,110/08/03 09:30,"6,000,000元",,,限制性招標(經公開評選或公開徵求),準用最有利標,屏東縣政府,原住民處輔導行政科張筱宣,「2021斜坡上的藝術節」行銷及活動規劃執行委託勞務採購案,原住民處輔導行政科張筱宣,(08)7320415分機3814,a002069@oa.pthg.gov.tw,"勞務類96-娛樂,文化,體育服務",https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53534077,行銷
,EY_Crawler,TBD,,2021/07/29,110/07/28,110/08/09 17:00,110/08/10 10:00,"700,000元",,,公開取得報價單或企劃書,參考最有利標精神,財團法人桃園市客家文化基金會,文化推廣組,「 2021時尚客家服飾紀錄片拍攝暨產業行銷推廣」勞務採購案,黃聖鈞小姐,(03)4790322分機22,tyhcf2016@gmail.com,"勞務類96-娛樂,文化,體育服務",https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53534646,行銷
,EY_Crawler,TBD,,2021/07/29,110/07/28,110/08/03 17:00,110/08/04 10:30,"600,000元",,,公開取得報價單或企劃書,參考最有利標精神,新北市立淡水古蹟博物館,新北市立淡水古蹟博物館,「多彩淡．古」影片製作暨行銷專案計畫,江兆平,(02)26212830分機119,ai3549@ms.ntpc.gov.tw,"勞務類96-娛樂,文化,體育服務",https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53534743,行銷
,EY_Crawler,TBD,,2021/07/29,110/07/28,110/08/09 17:00,110/08/10 14:00,"1,200,000元",,,公開招標,最有利標,國立臺灣師範大學,總務處/採購組,110年度英語線上學習平臺行銷推廣宣傳獎勵品,"採購組賴小姐,英語系周小姐",(02)77491967分機77491386,jasmine@ntnu.edu.tw,"財物類32-紙漿,紙及紙產品;印刷品及相關的商品",https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53534940,行銷
,EY_Crawler,TBD,,2021/07/29,110/07/28,110/08/03 17:00,110/08/04 14:30,"350,000元",,,公開取得報價單或企劃書,參考最有利標精神,內政部移民署,秘書室,110年跨國(境)婚姻媒合服務行銷宣導採購案,錢小姐,(02)23889393分機2758,aq3473@immigration.gov.tw,勞務類871-廣告服務,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53535285,行銷
,EY_Crawler,TBD,,2021/07/29,110/07/28,110/08/02 17:00,110/08/03 09:30,"809,790元",,,公開取得報價單或企劃書,最低標,臺北市立萬芳高級中學,臺北市立萬芳高級中學,110年遠距教學與數位學習空間活化工程,陳瑞微,(02)22309585分機510,dteam01@wfsh.tp.edu.tw,工程類5177-室內裝潢工程,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53533766,數位
,EY_Crawler,TBD,,2021/07/29,110/07/28,110/08/04 09:00,110/08/04 10:00,"2,000,000元",,,公開招標,最低標,衛生福利部南投醫院,衛生福利部南投醫院,數位乳房X光攝影巡迴車2輛租賃案,張博雅,(049)2231150分機2219,n68634@nant.mohw.gov.tw,財物類352-醫藥產品,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53533825,數位
,EY_Crawler,TBD,,2021/07/29,110/07/28,110/08/03 17:00,110/08/04 10:00,,,,公開招標,最低標,台灣中油股份有限公司,採購處,數位式控制面板辛烷值引擎測試儀,唐維妮,(02)87258304,631388@cpc.com.tw,財物類482-做為測量、檢查、航行及其他目的用之儀器和裝置，除光學儀器; 工業程序控制設備; 上述各項之零件及附件,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53533867,數位
,EY_Crawler,TBD,,2021/07/29,110/07/28,110/08/03 09:00,110/08/03 09:30,"7,245,000元",,,公開招標,最低標,彰化縣政府,教育處,110至111年數位學習推動計畫設備採購案,蔡承佑,(04)7237185,u912544@email.chcg.gov.tw,財物類452-計算機及其零件與配件,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53534225,數位
,EY_Crawler,TBD,,2021/07/29,110/07/28,110/08/02 17:00,110/08/03 14:00,"4,000,000元",,,公開招標,最低標,衛生福利部桃園醫院,衛生福利部桃園醫院,全數位高解析彩色超音波掃描儀1台,廖苡伶,(03)3699721分機4558,yiiling@mail.tygh.gov.tw,"財物類481-醫療, 外科及矯形設備",https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53534555,數位
,EY_Crawler,TBD,,2021/07/29,110/07/28,110/08/03 09:00,110/08/03 14:00,"28,000,000元",,,限制性招標(經公開評選或公開徵求),準用最有利標,臺南市政府環境保護局,臺南市政府環境保護局空氣及噪音管理科,110-111年度臺南市空氣品質感測物聯網維運計畫,蔡燦宇,(06)2686751分機269,hi117271@mail.tnepb.gov.tw,勞務類94-污水及垃圾處理、公共衛生及其他環保服務,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53534606,物聯網
,EY_Crawler,TBD,,2021/07/29,110/07/28,110/08/03 17:00,,"972,000元",,,公開取得報價單或企劃書,參考最有利標精神,司法院,秘書處,司法院暨所屬機關電子文件檔案防偽保存區塊鏈系統110年度及111年度維護採購案,劉柏凱/黃鈺婷,(02)23618577分機294/389,ting107@judicial.gov.tw,勞務類842-軟體執行服務,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53535887,區塊鏈
,EY_Crawler,TBD,,2021/07/29,110/07/28,110/08/03 17:00,110/08/04 10:00,"700,000元",,,公開取得報價單或企劃書,參考最有利標精神,衛生福利部食品藥物管理署,衛生福利部食品藥物管理署,110年度「進口牛肉食用風險分析」,黃連盛,(02)27877891,leonhuang@fda.gov.tw,勞務類911-政府行政服務,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53535192,風險
,EY_Crawler,TBD,,2021/07/29,110/07/28,110/08/11 17:00,110/08/12 10:00,"3,500,000元",,,公開招標,最低標,彰化縣立和群國民中學,總務處,AI、AR與VR虛擬實境英語科技學習中心建置案,詹天意,(04)7350071分機143,tieyi888@gmail.com,財物類421-結構金屬產品及其零件,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53534201,AI
,EY_Crawler,TBD,,2021/07/29,110/07/28,110/08/26 17:00,110/08/27 10:00,"13,325,407元",,,限制性招標(經公開評選或公開徵求),準用最有利標,交通部高速公路局南區養護工程分局,交通部高速公路局南區養護工程分局,國道1號372k+730過水橋(前鎮溪)改善工程委託設計及監造暨專業技術顧問服務工作,王柏仁,(06)2363201分機2208,wang1109@freeway.gov.tw,勞務類8672-工程服務,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53534706,顧問
,EY_Crawler,TBD,,2021/07/29,110/07/28,110/08/10 17:00,110/08/10 17:30,"4,000,000元",,,限制性招標(經公開評選或公開徵求),準用最有利標,客家委員會,客家委員會,委託辦理「世界客家館策展諮詢」勞務採購案,需求:李聯裕；招標:張世穎,(02)89956988分機562；585,ha0252@mail.hakka.gov.tw,"勞務類96-娛樂,文化,體育服務",https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53534915,諮詢
,EY_Crawler,TBD,,2021/07/29,110/07/28,110/08/03 17:00,110/08/04 10:00,"7,213,460元",,,公開招標,最低標,勞動部勞動力發展署高屏澎東分署,秘書室,110-113年度資通安全管理制度委外維運案,洪慧真(程序);蔣岳穎(需求),(07)8210171分機1605;2601,hung123@wda.gov.tw,勞務類911-政府行政服務,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53534829,資通安全
,EY_Crawler,TBD,,2021/07/29,110/07/28,110/07/29 17:00,110/07/30 10:00,"328,400元",,,公開取得報價單或企劃書,最低標,臺南市政府文化局,臺南市政府文化局永華文化中心管理科,永華文化中心管理科轄下場館資訊安全設備軟硬體保固更新授權及硬碟採購案,洪旖彣,(06)2692864分機111,geivnge@mail.tainan.gov.tw,勞務類842-軟體執行服務,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53531349,資訊安全
,EY_Crawler,TBD,,2021/07/29,110/07/28,110/08/11 09:30,110/08/11 13:30,"367,500元",,,公開取得電子報價單,最低標,交通部臺灣鐵路管理局花蓮機廠,交通部臺灣鐵路管理局花蓮機廠,中心盤耐磨板，規範：「規範TRA-940420-1 圖號DR2900-284」「依圖面及規範製作並附檢驗證明」，數量：10PC。,陳映如,(03)8322403,0034466@railway.gov.tw,財物類495-鐵路及電車軌道之機車及其零件,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53535124,驗證
